Per_capita_income,State,County_ID
183020,FL,105
156030,FL,107
286740,FL,109
187900,FL,111
200890,FL,113
283260,FL,115
245910,FL,117
168300,FL,119
146780,FL,121
152810,FL,123
123330,FL,125
196640,FL,127
176780,FL,129
181980,FL,131
149800,FL,133
211540,US,0
150440,GA,1
121780,GA,3
142890,GA,5
169690,GA,7
162710,GA,9
174240,GA,11
183500,GA,13
189890,GA,15
140930,GA,17
163750,GA,19
190580,GA,21
159340,GA,23
137130,GA,25
139770,GA,27
197940,GA,29
160800,GA,31
131360,GA,33
170160,GA,35
118390,GA,37
164450,GA,39
129580,GA,43
176560,GA,45
180090,GA,47
129200,GA,49
211520,GA,51
140490,GA,53
145080,GA,55
248710,GA,57
171230,GA,59
168190,GA,61
180790,GA,63
130230,GA,65
278630,GA,67
155300,GA,69
144570,GA,71
234960,GA,73
134650,GA,75
219490,GA,77
157680,GA,79
146950,GA,81
161270,GA,83
225200,GA,85
150630,GA,87
239680,GA,89
144680,GA,91
136280,GA,93
166450,GA,95
211720,GA,97
149360,GA,99
157270,GA,101
188730,GA,103
145350,GA,105
136270,GA,107
127580,GA,109
162690,GA,111
294640,GA,113
178080,GA,115
291140,GA,117
157670,GA,119
300030,GA,121
171470,GA,123
141850,GA,125
217070,GA,127
175860,GA,129
142780,GA,131
233890,GA,133
250060,GA,135
177060,GA,137
196900,GA,139
109160,GA,141
158230,GA,143
216800,GA,145
167140,GA,147
151320,GA,149
229450,GA,151
195150,GA,153
148670,GA,155
178080,GA,157
192490,GA,159
137800,GA,161
134910,GA,163
134000,GA,165
123840,GA,167
191260,GA,169
166660,GA,171
136900,GA,173
167630,GA,175
198970,GA,177
138550,GA,179
153510,GA,181
125860,GA,183
166830,GA,185
180620,GA,187
180050,GA,189
142530,GA,191
118200,GA,193
169980,GA,195
140440,GA,197
157080,GA,199
154350,GA,201
130420,GA,205
195800,GA,207
141820,GA,209
188230,GA,211
162300,GA,213
182620,GA,215
193170,GA,217
241530,GA,219
170890,GA,221
199740,GA,223
160310,GA,225
197740,GA,227
142300,GA,229
176610,GA,231
156170,GA,233
164350,GA,235
201610,GA,237
143010,GA,239
206080,GA,241
118090,GA,243
170880,GA,245
223000,GA,247
149810,GA,249
138940,GA,251
146350,GA,253
167910,GA,255
155290,GA,257
160710,GA,259
150830,GA,261
145390,GA,263
154980,GA,265
134390,GA,267
134320,GA,269
141970,GA,271
138940,GA,273
162110,GA,275
168330,GA,277
142520,GA,279
182210,GA,281
131220,GA,283
176260,GA,285
134540,GA,287
142590,GA,289
188450,GA,291
170530,GA,293
158670,GA,295
194700,GA,297
143840,GA,299
140220,GA,301
155650,GA,303
156280,GA,305
147720,GA,307
130050,GA,309
171930,GA,311
185150,GA,313
140140,GA,315
150200,GA,317
146580,GA,319
158560,GA,321
215250,US,0
187910,HI,1
219980,HI,3
137570,HI,5
203010,HI,7
220330,HI,9
178410,US,0
225190,ID,1
149080,ID,3
171480,ID,5
135920,ID,7
152850,ID,9
143650,ID,11
313460,ID,13
187870,ID,15
172630,ID,17
183260,ID,19
146360,ID,21
149480,ID,23
195500,ID,25
151550,ID,27
151790,ID,29
140870,ID,31
111410,ID,33
154630,ID,35
157830,ID,37
167730,ID,39
137020,ID,41
139650,ID,43
153400,ID,45
146120,ID,47
144110,ID,49
138380,ID,51
155300,ID,53
184300,ID,55
166900,ID,57
160370,ID,59
159420,ID,61
142570,ID,63
109560,ID,65
138130,ID,67
185440,ID,69
138290,ID,71
134050,ID,73
149240,ID,75
140070,ID,77
159340,ID,79
177780,ID,81
166780,ID,83
192460,ID,85
154640,ID,87
231040,US,0
178940,IL,1
160840,IL,3
179470,IL,5
215900,IL,7
146290,IL,9
195420,IL,11
167850,IL,13
186880,IL,15
165320,IL,17
197080,IL,19
179370,IL,21
176550,IL,23
157710,IL,25
191090,IL,27
173700,IL,29
232270,IL,31
168690,IL,33
169530,IL,35
194620,IL,37
204880,IL,39
184740,IL,41
313150,IL,43
178570,IL,45
161870,IL,47
183010,IL,49
153570,IL,51
188600,IL,53
154070,IL,55
173730,IL,57
155750,IL,59
152460,IL,61
225910,IL,63
162620,IL,65
174780,IL,67
159840,IL,69
174560,IL,71
187160,IL,73
184350,IL,75
157550,IL,77
166490,IL,79
166440,IL,81
195810,IL,83
214970,IL,85
179900,IL,87
243150,IL,89
190550,IL,91
251880,IL,93
179850,IL,95
321020,IL,97
191850,IL,99
170700,IL,101
186500,IL,103
183470,IL,105
179530,IL,107
158900,IL,109
264760,IL,111
222270,IL,113
200670,IL,115
172980,IL,117
205090,IL,119
172350,IL,121
190650,IL,123
173570,IL,125
163340,IL,127
215840,IL,129
186450,IL,131
229540,IL,133
162720,IL,135
182050,IL,137
185620,IL,139
205150,IL,141
212190,IL,143
159350,IL,145
210750,IL,147
159460,IL,149
164400,IL,151
133250,IL,153
197920,IL,155
176960,IL,157
168470,IL,159
201640,IL,161
189320,IL,163
155900,IL,165
231730,IL,167
171580,IL,169
169980,IL,171
173130,IL,173
167670,IL,175
197940,IL,177
215110,IL,179
164500,IL,181
167870,IL,183
167470,IL,185
169460,IL,187
191080,IL,189
157930,IL,191
164120,IL,193
192960,IL,195
246130,IL,197
177790,IL,199
211940,IL,201
219560,IL,203
203970,US,0
167040,IN,1
215440,IN,3
215360,IN,5
172200,IN,7
165430,IN,9
241820,IN,11
205480,IN,13
194360,IN,15
188920,IN,17
199360,IN,19
163640,IN,21
178620,IN,23
159260,IN,25
160150,IN,27
204310,IN,29
185820,IN,31
194480,IN,33
192330,IN,35
202250,IN,37
202500,IN,39
186240,IN,41
218520,IN,43
177790,IN,45
186240,IN,47
179490,IN,49
181690,IN,51
180030,IN,53
168340,IN,55
331090,IN,57
249660,IN,59
196430,IN,61
231290,IN,63
193550,IN,65
220490,IN,67
194800,IN,69
184000,IN,71
190120,IN,73
166860,IN,75
174120,IN,77
170590,IN,79
229760,IN,81
160850,IN,83
198060,IN,85
164810,IN,87
196390,IN,89
189130,IN,91
176530,IN,93
200900,IN,95
217890,IN,97
184270,IN,99
170540,IN,101
177260,IN,103
185340,IN,105
189380,IN,107
206570,IN,109
177550,IN,111
178960,IN,113
196270,IN,115
167170,IN,117
168840,IN,119
169860,IN,121
166730,IN,123
162170,IN,125
239570,IN,127
195160,IN,129
168350,IN,131
171630,IN,133
169540,IN,135
175590,IN,137
179970,IN,139
197560,IN,141
160650,IN,143
203240,IN,145
180000,IN,147
164660,IN,149
206470,IN,151
162340,IN,153
174660,IN,155
193750,IN,157
219260,IN,159
195490,IN,161
206550,IN,163
185790,IN,165
176200,IN,167
181920,IN,169
180700,IN,171
218930,IN,173
167480,IN,175
177270,IN,177
191580,IN,179
183230,IN,181
205190,IN,183
196740,US,0
172620,IA,1
155500,IA,3
165990,IA,5
146440,IA,7
174890,IA,9
188910,IA,11
188850,IA,13
199430,IA,15
191990,IA,17
184050,IA,19
160420,IA,21
170360,IA,23
174980,IA,25
185950,IA,27
170670,IA,29
192000,IA,31
191840,IA,33
179340,IA,35
182370,IA,37
164090,IA,39
194510,IA,41
169300,IA,43
177240,IA,45
158510,IA,47
229700,IA,49
151270,IA,51
142090,IA,53
173270,IA,55
197010,IA,57
219290,IA,59
196000,IA,61
166190,IA,63
172710,IA,65
170910,IA,67
187670,IA,69
180810,IA,71
168660,IA,73
191420,IA,75
197260,IA,77
188010,IA,79
179570,IA,81
175370,IA,83
176620,IA,85
181920,IA,87
178420,IA,89
183000,IA,91
186750,IA,93
188840,IA,95
173290,IA,97
196220,IA,99
195790,IA,101
222200,IA,103
178160,IA,105
171200,IA,107
165980,IA,109
184300,IA,111
229770,IA,113
176440,IA,115
153410,IA,117
160810,IA,119
193570,IA,121
182320,IA,123
187170,IA,125
191760,IA,127
187360,IA,129
168090,IA,131
174770,IA,133
171550,IA,135
163730,IA,137
196250,IA,139
172810,IA,141
164630,IA,143
166700,IA,145
177330,IA,147
194420,IA,149
170060,IA,151
236540,IA,153
192750,IA,155
186290,IA,157
150230,IA,159
169020,IA,161
213100,IA,163
169690,IA,165
165320,IA,167
199490,IA,169
170970,IA,171
150820,IA,173
166900,IA,175
157480,IA,177
165000,IA,179
205580,IA,181
182210,IA,183
156130,IA,185
178570,IA,187
184940,IA,189
170470,IA,191
187710,IA,193
169520,IA,195
182470,IA,197
205060,US,0
156400,KS,1
164580,KS,3
152070,KS,5
166270,KS,7
166950,KS,9
163930,KS,11
151630,KS,13
201500,KS,15
174220,KS,17
162800,KS,19
147100,KS,21
178620,KS,23
177950,KS,25
179390,KS,27
175360,KS,29
183370,KS,31
170370,KS,33
175090,KS,35
162450,KS,37
163480,KS,39
177800,KS,41
148490,KS,43
199520,KS,45
175860,KS,47
160660,KS,49
182590,KS,51
165690,KS,53
153770,KS,55
157210,KS,57
173110,KS,59
161990,KS,61
178520,KS,63
180500,KS,65
170720,KS,67
186320,KS,69
199740,KS,71
159760,KS,73
164840,KS,75
163680,KS,77
187150,KS,79
173490,KS,81
155990,KS,83
186060,KS,85
193730,KS,87
166440,KS,89
309190,KS,91
157080,KS,93
185330,KS,95
172070,KS,97
155250,KS,99
186060,KS,101
202920,KS,103
157880,KS,105
170090,KS,107
172940,KS,109
157240,KS,111
189210,KS,113
161000,KS,115
170900,KS,117
168240,KS,119
214080,KS,121
176530,KS,123
164210,KS,125
184910,KS,127
170760,KS,129
171210,KS,131
165390,KS,133
177870,KS,135
168350,KS,137
176910,KS,139
162360,KS,141
176630,KS,143
175840,KS,145
171210,KS,147
177850,KS,149
179060,KS,151
171610,KS,153
185200,KS,155
174330,KS,157
160640,KS,159
163490,KS,161
155880,KS,163
180330,KS,165
170730,KS,167
190730,KS,169
204430,KS,171
209070,KS,173
150590,KS,175
209040,KS,177
162990,KS,179
167610,KS,181
149830,KS,183
164090,KS,185
180430,KS,187
178140,KS,189
183050,KS,191
190280,KS,193
162390,KS,195
177040,KS,197
170160,KS,199
155150,KS,201
167200,KS,203
149100,KS,205
142830,KS,207
160050,KS,209
180930,US,0
149310,KY,AD
145060,KY,AL
186210,KY,AN
190350,KY,BA
168160,KY,BR
153260,KY,BT
115260,KY,BE
235350,KY,BN
183350,KY,BO
182120,KY,BY
182880,KY,BL
164780,KY,BK
110440,KY,BH
154020,KY,BG
183390,KY,BI
146170,KY,BU
162640,KY,CA
165660,KY,CL
206370,KY,CB
162760,KY,CR
170570,KY,CO
134420,KY,CT
128670,KY,CS
146110,KY,CH
191700,KY,CK
97160,KY,CY
132860,KY,CN
152620,KY,CD
126430,KY,CM
187390,KY,DA
144800,KY,ED
120670,KY,EL
122850,KY,ES
231090,KY,FA
142140,KY,FL
124420,KY,FO
212290,KY,FR
143090,KY,FU
164160,KY,GA
169150,KY,GR
167760,KY,GN
168340,KY,GV
147590,KY,GY
161070,KY,GE
171370,KY,GU
166230,KY,HA
174870,KY,HR
115850,KY,HL
174780,KY,HI
134950,KY,HT
184700,KY,HE
178460,KY,HY
172790,KY,HK
173820,KY,HO
107110,KY,JA
223520,KY,JE
188420,KY,JS
140510,KY,JO
220850,KY,KE
112970,KY,KN
106600,KY,KO
158650,KY,LA
141650,KY,LU
120080,KY,LW
133250,KY,LE
104290,KY,LS
119840,KY,LT
120310,KY,LI
136020,KY,LN
170720,KY,LG
159620,KY,LO
160160,KY,LY
195330,KY,MK
98960,KY,MR
160460,KY,ML
167900,KY,MI
106850,KY,MG
144720,KY,MH
180690,KY,MS
106500,KY,MT
165890,KY,MO
160000,KY,MD
113990,KY,ME
179720,KY,MC
132360,KY,MF
143650,KY,MN
167010,KY,MY
126570,KY,MA
147980,KY,MB
181200,KY,NE
158800,KY,NI
153170,KY,OH
253740,KY,OL
155210,KY,OW
107420,KY,OS
165510,KY,PE
122240,KY,PR
140050,KY,PI
130600,KY,PO
153520,KY,PU
134040,KY,RO
123370,KY,RC
138890,KY,RW
131830,KY,RS
214900,KY,SC
201950,KY,SH
171500,KY,SI
198480,KY,SP
151620,KY,TA
154620,KY,TO
171840,KY,TR
163550,KY,TI
174650,KY,UN
188470,KY,WA
157220,KY,WS
126010,KY,WY
156570,KY,WB
127770,KY,WH
103210,KY,WO
228390,KY,WD
169120,US,0
134240,LA,1
131010,LA,3
178580,LA,5
140080,LA,7
121460,LA,9
155140,LA,11
124710,LA,13
181190,LA,15
178390,LA,17
177100,LA,19
138840,LA,21
153480,LA,23
126070,LA,25
138250,LA,27
119660,LA,29
136060,LA,31
197900,LA,33
96290,LA,35
154280,LA,37
114320,LA,39
126750,LA,41
144100,LA,43
141450,LA,45
132720,LA,47
153540,LA,49
199530,LA,51
133980,LA,53
193710,LA,55
158090,LA,57
140330,LA,59
143130,LA,61
162820,LA,63
101140,LA,65
131970,LA,67
137430,LA,69
172580,LA,71
170840,LA,73
159370,LA,75
153870,LA,77
160880,LA,79
121190,LA,81
124790,LA,83
151990,LA,85
167180,LA,87
190540,LA,89
123180,LA,91
143810,LA,93
154450,LA,95
120420,LA,97
136190,LA,99
133990,LA,101
225140,LA,103
144610,LA,105
126220,LA,107
160510,LA,109
148190,LA,111
142010,LA,113
140360,LA,115
129150,LA,117
152030,LA,119
157730,LA,121
123020,LA,123
162010,LA,125
117940,LA,127
195330,US,0
187340,ME,1
150330,ME,3
239490,ME,5
157960,ME,7
198090,ME,9
185200,ME,11
199810,ME,13
207600,ME,15
169450,ME,17
178010,ME,19
143740,ME,21
203780,ME,23
154740,ME,25
174380,ME,27
141190,ME,29
212250,ME,31
256140,US,0
167800,MD,1
275780,MD,3
261670,MD,5
254100,MD,9
172750,MD,11
238290,MD,13
213840,MD,15
242850,MD,17
189290,MD,19
254040,MD,21
162190,MD,23
242320,MD,25
324020,MD,27
215730,MD,29
356840,MD,31
233600,MD,33
263640,MD,35
226620,MD,37
159650,MD,39
281640,MD,41
200620,MD,43
191710,MD,45
225050,MD,47
169780,MD,510
259520,US,0
253180,MA,1
218070,MA,3
209780,MA,5
264720,MA,7
263580,MA,9
206720,MA,11
195410,MA,13
216850,MA,15
311990,MA,17
313140,MA,19
324840,MA,21
247890,MA,23
227660,MA,25
229830,MA,27
221680,US,0
176530,MI,1
182100,MI,3
199180,MI,5
175660,MI,7
194850,MI,9
163000,MI,11
158600,MI,13
206360,MI,15
196980,MI,17
185240,MI,19
199520,MI,21
175520,MI,23
192300,MI,25
194740,MI,27
201300,MI,29
180880,MI,31
158580,MI,33
159220,MI,35
229130,MI,37
169030,MI,39
186670,MI,41
185160,MI,43
224110,MI,45
210700,MI,47
208830,MI,49
166140,MI,51
161690,MI,53
221110,MI,55
171180,MI,57
182550,MI,59
150780,MI,61
178510,MI,63
210790,MI,65
174510,MI,67
171150,MI,69
165060,MI,71
162420,MI,73
201710,MI,75
217390,MI,77
163090,MI,79
216290,MI,81
167690,MI,83
144570,MI,85
214620,MI,87
246860,MI,89
201860,MI,91
280690,MI,93
168280,MI,95
177770,MI,97
244460,MI,99
172040,MI,101
180700,MI,103
177130,MI,105
163720,MI,107
169090,MI,109
233830,MI,111
160720,MI,113
224580,MI,115
161830,MI,117
164930,MI,119
179670,MI,121
169760,MI,123
325340,MI,125
158780,MI,127
157680,MI,129
166950,MI,131
156320,MI,133
156970,MI,135
198100,MI,137
216760,MI,139
173630,MI,141
178370,MI,143
194380,MI,145
215820,MI,147
182470,MI,149
170890,MI,151
171370,MI,153
192290,MI,155
179850,MI,157
178780,MI,159
271730,MI,161
200580,MI,163
171440,MI,165
231980,US,0
178480,MN,1
232970,MN,3
170850,MN,5
154970,MN,7
190080,MN,9
157080,MN,11
187120,MN,13
195350,MN,15
180730,MN,17
284860,MN,19
171890,MN,21
180390,MN,23
210130,MN,25
175570,MN,27
156940,MN,29
217750,MN,31
166470,MN,33
191740,MN,35
270080,MN,37
192590,MN,39
188500,MN,41
171930,MN,43
170670,MN,45
183250,MN,47
219340,MN,49
171310,MN,51
287890,MN,53
188260,MN,55
181150,MN,57
203480,MN,59
177170,MN,61
174990,MN,63
177410,MN,65
196270,MN,67
165250,MN,69
191670,MN,71
173990,MN,73
197610,MN,75
169760,MN,77
201510,MN,79
160090,MN,81
180130,MN,83
201370,MN,85
134380,MN,87
163170,MN,89
185290,MN,91
186280,MN,93
176560,MN,95
165660,MN,97
197950,MN,99
179360,MN,101
205170,MN,103
169870,MN,105
158950,MN,107
249390,MN,109
180140,MN,111
173460,MN,113
174450,MN,115
164500,MN,117
172790,MN,119
190320,MN,121
235360,MN,123
153720,MN,125
189030,MN,127
177700,MN,129
196950,MN,131
174110,MN,133
170530,MN,135
189820,MN,137
264180,MN,139
213220,MN,141
180040,MN,143
192110,MN,145
203280,MN,147
175690,MN,149
163600,MN,151
156580,MN,153
163780,MN,155
196640,MN,157
151460,MN,159
186310,MN,161
281480,MN,163
164130,MN,165
168730,MN,167
180770,MN,169
218440,MN,171
171200,MN,173
158530,US,0
157780,MS,1
154180,MS,3
140480,MS,5
137820,MS,7
122120,MS,9
120880,MS,11
151060,MS,13
157440,MS,15
132790,MS,17
134740,MS,19
112440,MS,21
142880,MS,23
145120,MS,25
125580,MS,27
124080,MS,29
145060,MS,31
204680,MS,33
151600,MS,35
136430,MS,37
143370,MS,39
118680,MS,41
137860,MS,43
177480,MS,45
180240,MS,47
177850,MS,49
106830,MS,51
109260,MS,53
105810,MS,55
149560,MS,57
177680,MS,59
128890,MS,61
97090,MS,63
119740,MS,65
148200,MS,67
119850,MS,69
164060,MS,71
188490,MS,73
160260,MS,75
144690,MS,77
133650,MS,79
189560,MS,81
125530,MS,83
139610,MS,85
165140,MS,87
234690,MS,89
123010,MS,91
140280,MS,93
140720,MS,95
140400,MS,97
149640,MS,99
140080,MS,101
120180,MS,103
149980,MS,105
130750,MS,107
151600,MS,109
128370,MS,111
140400,MS,113
156580,MS,115
141310,MS,117
108170,MS,119
204120,MS,121
140130,MS,123
113960,MS,125
133440,MS,127
147520,MS,129
146930,MS,131
113650,MS,133
107490,MS,135
161540,MS,137
140410,MS,139
153950,MS,141
119780,MS,143
157000,MS,145
125630,MS,147
175270,MS,149
134300,MS,151
127570,MS,153
141090,MS,155
108680,MS,157
145480,MS,159
149530,MS,161
120620,MS,163
199360,US,0
154840,MO,1
193750,MO,3
169560,MO,5
164410,MO,7
149800,MO,9
139870,MO,11
154770,MO,13
154570,MO,15
136410,MO,17
198440,MO,19
178820,MO,21
157210,MO,23
153430,MO,25
170050,MO,27
201970,MO,29
185930,MO,31
155220,MO,33
133490,MO,35
210730,MO,37
143560,MO,39
155150,MO,41
184220,MO,43
159880,MO,45
231440,MO,47
190560,MO,49
207390,MO,51
156480,MO,53
148250,MO,55
142540,MO,57
151060,MO,59
159530,MO,61
126870,MO,63
144630,MO,65
137850,MO,67
135610,MO,69
197050,MO,71
173190,MO,73
158790,MO,75
191850,MO,77
154320,MO,79
141920,MO,81
164680,MO,83
135360,MO,85
158760,MO,87
151980,MO,89
139590,MO,91
142270,MO,93
207880,MO,95
162270,MO,97
194350,MO,99
160370,MO,101
130750,MO,103
155720,MO,105
184930,MO,107
153990,MO,109
147460,MO,111
171490,MO,113
153780,MO,115
166850,MO,117
131750,MO,119
161890,MO,121
132150,MO,123
156620,MO,125
169640,MO,127
151400,MO,129
151440,MO,131
130380,MO,133
166090,MO,135
146950,MO,137
150920,MO,139
159500,MO,141
142040,MO,143
175020,MO,145
153840,MO,147
128120,MO,149
172450,MO,151
141330,MO,153
129680,MO,155
165540,MO,157
162510,MO,159
160840,MO,161
144620,MO,163
263560,MO,165
136450,MO,167
145860,MO,169
146470,MO,171
164560,MO,173
150100,MO,175
186850,MO,177
130650,MO,179
128890,MO,181
235920,MO,183
140250,MO,185
172830,MO,186
152730,MO,187
275950,MO,189
161320,MO,195
158500,MO,197
144740,MO,199
156200,MO,201
114920,MO,203
156320,MO,205
146560,MO,207
180360,MO,209
133920,MO,211
172670,MO,213
137990,MO,215
150470,MO,217
196900,MO,219
129340,MO,221
134340,MO,223
145020,MO,225
143670,MO,227
131350,MO,229
161080,MO,510
171510,US,0
156210,MT,1
107920,MT,3
121010,MT,5
162370,MT,7
172040,MT,9
132800,MT,11
175660,MT,13
148510,MT,15
158760,MT,17
160550,MT,19
153680,MT,21
155800,MT,23
160140,MT,25
158080,MT,27
181120,MT,29
190740,MT,31
139300,MT,33
115970,MT,35
135730,MT,37
166360,MT,39
149350,MT,41
182500,MT,43
142910,MT,45
151730,MT,47
187630,MT,49
148820,MT,51
139230,MT,53
151620,MT,55
169440,MT,57
150190,MT,59
151660,MT,61
178080,MT,63
153890,MT,65
177040,MT,67
159860,MT,69
150580,MT,71
142760,MT,73
153510,MT,75
138160,MT,77
144220,MT,79
179350,MT,81
160060,MT,83
113470,MT,85
150320,MT,87
145930,MT,89
160380,MT,91
170090,MT,93
184680,MT,95
178800,MT,97
146350,MT,99
147310,MT,101
143920,MT,103
162460,MT,105
119540,MT,107
161210,MT,109
193030,MT,111
0,MT,113
196130,US,0
183080,NE,1
146010,NE,3
158100,NE,5
171490,NE,7
123230,NE,9
158310,NE,11
184070,NE,13
138400,NE,15
159240,NE,17
175100,NE,19
166540,NE,21
163940,NE,23
201560,NE,25
155150,NE,27
174900,NE,29
159430,NE,31
174370,NE,33
168700,NE,35
151480,NE,37
164430,NE,39
161710,NE,41
161250,NE,43
163530,NE,45
159730,NE,47
178910,NE,49
153500,NE,51
177570,NE,53
228790,NE,55
157860,NE,57
174650,NE,59
153900,NE,61
166480,NE,63
172230,NE,65
171900,NE,67
154140,NE,69
143680,NE,71
179570,NE,73
148150,NE,75
137310,NE,77
173860,NE,79
175900,NE,81
156180,NE,83
140990,NE,85
148040,NE,87
152560,NE,89
155130,NE,91
155350,NE,93
