Account,Amount,Date,Merchant,Reference,spend category,type
Credit,152.45,8/18/2025,JIFFY LUBE,,Automobile,CREDIT
Credit,74.32,8/12/2025,KFC,,Restaurant,CREDIT
Credit,243.98,9/2/2025,MACY'S,,Clothing and Personal,CREDIT
Credit,90.22,9/10/2025,NIKESTORE,,Clothing and Personal,CREDIT
Credit,187.5,8/22/2025,SEARS,,Misc,CREDIT
Credit,56.78,8/12/2025,SHELL OIL,,Automobile,CREDIT
Credit,59.21,8/16/2025,SHELL OIL,,Automobile,CREDIT
Credit,435.67,8/25/2025,TACO BELL,,Restaurant,CREDIT
Credit,25.05,8/27/2025,TGI FRIDAYS,,Restaurant,CREDIT
Credit,63.13,8/13/2025,VERIZON WIRELESS,,Wireless,CREDIT
Credit,598.32,9/10/2025,VERIZON WIRELESS,,Wireless,CREDIT
Credit,28.34,8/16/2025,VICTORIA'S SECRET,,Clothing and Personal,CREDIT
Checking,586.12,7/25/2025,VOLVO FINANCE,,Automobile,BILL PAY
Checking,411.28,7/30/2025,AMERICAN HONDA,,Automobile,BILL PAY
Checking,15.06,8/5/2025,KWIK CAR WASH,,Automobile,ATM
Checking,114.62,7/22/2025,DEPT MOTOR VEHICL,376,Automobile,CHECK
Checking,250,8/11/2025,TARGET,,Clothing and Personal,BILL PAY
Savings,19.42,7/20/2025,CHECK 377,377,Clothing and Personal,CHECK
Savings,500,7/19/2025,TARGET,,Clothing and Personal,ATM
Checking,12.41,7/12/2025,PANERA BREAD,,Restaurant,ATM
Checking,43.64,8/10/2025,SHOOTERS,,Restaurant,ATM
Checking,9.58,8/1/2025,EINSTEIN BAGEL,,Restaurant,ATM
Savings,24.95,8/9/2025,SANTOS PIZZA,,Restaurant,ATM
Checking,12.05,8/11/2025,MOOTOWN CREAMERY,,Restaurant,ATM
Savings,12.88,8/7/2025,PANERA BREAD,,Restaurant,ATM
Checking,22.66,7/12/2025,PARTY CITY,,Restaurant,ATM
Checking,50.01,7/13/2025,DON PABLOS,,Restaurant,ATM
Savings,43.75,7/12/2025,WINKING LIZARD,,Restaurant,ATM
Checking,48.38,8/10/2025,SANTOS PIZZA,,Restaurant,ATM
Savings,129.84,7/24/2025,ILLUMINATING ELEC,,Electric,BILL PAY
Savings,61,7/16/2025,CAVS GUND ARENA,,Entertainment,ATM
Savings,26.75,7/17/2025,CINEMARK MOVIES,,Entertainment,ATM
Checking,37,7/17/2025,CLEVELAND LIVE,,Entertainment,ATM
Savings,15.12,7/12/2025,BOTANICAL GA,,Entertainment,ATM
Checking,24.99,7/25/2025,BORDERS BOOKS,,Entertainment,ATM
Checking,4,7/15/2025,PIN PURCHASE FEE,,Fees,FEES
Checking,8.5,7/13/2025,MAINTENANCE SRVC,,Fees,FEES
Savings,4,8/10/2025,PIN PURCHASE FEE,,Fees,FEES
Savings,8.5,7/29/2025,MAINTENANCE SRVC,,Fees,FEES
Savings,25.16,8/11/2025,BP OIL,,Automobile,ATM
Savings,30.8,7/18/2025,COLUMBIA GAS,,Automobile,ATM
Savings,27.27,8/6/2025,SPEEDWAY,,Automobile,ATM
Checking,28.53,7/21/2025,SHELL OIL,,Automobile,ATM
Savings,29.71,8/1/2025,MAC GAS,,Automobile,ATM
Savings,33.22,7/16/2025,SHELL OIL,,Automobile,ATM
Savings,34.23,7/29/2025,SPEEDWAY,,Automobile,ATM
Savings,58.22,8/3/2025,BJ'S WHOLESALE,,Groceries,ATM
Savings,20.76,7/29/2025,AMERICAN HEALTH,398,Groceries,CHECK
Savings,102.73,7/25/2025,WAL-SAMS,,Groceries,ATM
Savings,71.89,7/20/2025,SAMS CLUB CREDIT,,Groceries,BILL PAY
Savings,17.45,7/20/2025,AMERICAN HEALTH,399,Groceries,CHECK
Checking,51.16,8/1/2025,BJ WHOLESALE,,Groceries,ATM
Savings,39.17,8/2/2025,THE PLAIN DEALER,,Home,BILL PAY
Checking,145.67,8/4/2025,MAC BIRDS,,Home,ATM
Checking,188.28,8/9/2025,ROOT CANDLES,,Home,ATM
Checking,208.51,7/28/2025,NATIONWIDE LIFE,,Insurance,BILL PAY
Checking,137.78,8/6/2025,STATE FARM INSURA,,Insurance,BILL PAY
Savings,38.43,8/11/2025,CONNECTICUT GENER,,Insurance,BILL PAY
Checking,15.4,7/24/2025,CHECK # 319,319,Misc,CHECK
Checking,73,7/22/2025,FLEET BANK MC/VISA,,Misc,BILL PAY
Checking,50,8/4/2025,CHECK # 313,313,Misc,CHECK
Checking,13.75,7/16/2025,CHECK # 385,385,Misc,CHECK
Checking,100,7/29/2025,KEYBANK MC/VISA,,Misc,BILL PAY
Checking,83.91,7/31/2025,CHECK # 392,392,Misc,CHECK
Checking,500,7/15/2025,CHECK # 373,373,Misc,CHECK
Checking,690.75,8/2/2025,CHECK # 383,383,Misc,CHECK
Checking,25,7/23/2025,CHECK # 391,391,Misc,CHECK
Checking,5.9,7/25/2025,CHECK # 366,366,Misc,CHECK
Checking,42.08,8/11/2025,CHECK # 393,393,Misc,CHECK
Checking,246.32,7/29/2025,SBC AMERITECH,,Phone,BILL PAY
Checking,39.79,7/17/2025,SPRINT PCS,,Phone,BILL PAY
Savings,170.07,8/7/2025,DIVISION OF WATER,,Water,BILL PAY
Credit,87.92,8/7/2025,7-ELEVEN,,Misc,CREDIT
Credit,183.96,8/4/2025,AMAZON,,Discretionary,CREDIT
Credit,67.43,7/17/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,138.88,7/12/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,26.1,7/16/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,103.01,7/20/2025,BEST BUY,,Entertainment,CREDIT
Credit,187,7/31/2025,BEST BUY,,Entertainment,CREDIT
Credit,147.4,7/13/2025,BOB'S BAR AND GRILL,,Restaurant,CREDIT
Credit,87.43,7/19/2025,BURGER KING,,Restaurant,CREDIT
Credit,812.35,7/28/2025,DIRECTV,,Entertainment,CREDIT
Credit,16.08,8/5/2025,DISH NETWORK,,Entertainment,CREDIT
Credit,26.43,7/12/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,34.51,7/26/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,169.53,7/22/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,15.22,7/15/2025,JACK-IN-THE-BOX,,Restaurant,CREDIT
Credit,152.45,7/21/2025,JIFFY LUBE,,Automobile,CREDIT
Credit,74.32,7/16/2025,KFC,,Restaurant,CREDIT
Credit,243.98,7/25/2025,MACY'S,,Clothing and Personal,CREDIT
Credit,90.22,7/13/2025,NIKESTORE,,Clothing and Personal,CREDIT
Credit,187.5,8/7/2025,SEARS,,Misc,CREDIT
Credit,56.78,8/11/2025,SHELL OIL,,Automobile,CREDIT
Credit,59.21,8/7/2025,SHELL OIL,,Automobile,CREDIT
Credit,5.67,8/4/2025,TARGET,,Restaurant,CREDIT
Credit,25.05,8/7/2025,TGI FRIDAYS,,Restaurant,CREDIT
Credit,63.13,7/27/2025,VERIZON WIRELESS,,Wireless,CREDIT
Credit,598.32,8/5/2025,VERIZON WIRELESS,,Wireless,CREDIT
Credit,28.34,7/22/2025,VICTORIA'S SECRET,,Clothing and Personal,CREDIT
Checking,586.12,6/15/2025,VOLVO FINANCE,,Automobile,BILL PAY
Checking,411.28,7/7/2025,AMERICAN HONDA,,Automobile,BILL PAY
Checking,15.06,6/13/2025,KWIK CAR WASH,,Automobile,ATM
Checking,114.62,6/18/2025,DEPT MOTOR VEHICL,376,Automobile,CHECK
Checking,250,6/27/2025,TARGET,,Clothing and Personal,BILL PAY
Savings,19.42,6/14/2025,CHECK 377,377,Clothing and Personal,CHECK
Savings,500,6/27/2025,TARGET,,Clothing and Personal,ATM
Checking,12.41,6/12/2025,PANERA BREAD,,Restaurant,ATM
Checking,43.64,7/7/2025,SHOOTERS,,Restaurant,ATM
Checking,9.58,6/28/2025,EINSTEIN BAGEL,,Restaurant,ATM
Savings,24.95,7/4/2025,SANTOS PIZZA,,Restaurant,ATM
Checking,12.05,7/2/2025,MOOTOWN CREAMERY,,Restaurant,ATM
Savings,12.88,6/13/2025,PANERA BREAD,,Restaurant,ATM
Checking,22.66,7/8/2025,PARTY CITY,,Restaurant,ATM
Checking,50.01,6/28/2025,DON PABLOS,,Restaurant,ATM
Savings,43.75,6/25/2025,WINKING LIZARD,,Restaurant,ATM
Checking,48.38,7/9/2025,SANTOS PIZZA,,Restaurant,ATM
Savings,129.84,6/21/2025,ILLUMINATING ELEC,,Electric,BILL PAY
Savings,61,6/16/2025,CAVS GUND ARENA,,Entertainment,ATM
Savings,26.75,7/10/2025,CINEMARK MOVIES,,Entertainment,ATM
Checking,37,6/12/2025,CLEVELAND LIVE,,Entertainment,ATM
Savings,15.12,6/21/2025,BOTANICAL GA,,Entertainment,ATM
Checking,24.99,7/5/2025,BORDERS BOOKS,,Entertainment,ATM
Checking,4,6/15/2025,PIN PURCHASE FEE,,Fees,FEES
Checking,8.5,6/25/2025,MAINTENANCE SRVC,,Fees,FEES
Savings,4,6/16/2025,PIN PURCHASE FEE,,Fees,FEES
Savings,8.5,6/18/2025,MAINTENANCE SRVC,,Fees,FEES
Savings,25.16,6/29/2025,BP OIL,,Automobile,ATM
Savings,30.8,6/28/2025,COLUMBIA GAS,,Automobile,ATM
Savings,27.27,6/12/2025,SPEEDWAY,,Automobile,ATM
Checking,28.53,6/22/2025,SHELL OIL,,Automobile,ATM
Savings,29.71,7/11/2025,MAC GAS,,Automobile,ATM
Savings,33.22,7/10/2025,SHELL OIL,,Automobile,ATM
Savings,34.23,6/16/2025,SPEEDWAY,,Automobile,ATM
Savings,58.22,6/21/2025,BJ'S WHOLESALE,,Groceries,ATM
Savings,20.76,6/27/2025,AMERICAN HEALTH,398,Groceries,CHECK
Savings,102.73,7/4/2025,WAL-SAMS,,Groceries,ATM
Savings,71.89,6/12/2025,SAMS CLUB CREDIT,,Groceries,BILL PAY
Savings,17.45,6/24/2025,AMERICAN HEALTH,399,Groceries,CHECK
Checking,51.16,7/11/2025,BJ WHOLESALE,,Groceries,ATM
Savings,139.17,6/24/2025,THE PLAIN DEALER,,Home,BILL PAY
Checking,49.44,7/1/2025,MAC BIRDS,,Home,ATM
Checking,88.28,7/10/2025,ROOT CANDLES,,Home,ATM
Checking,208.51,6/26/2025,NATIONWIDE LIFE,,Insurance,BILL PAY
Checking,137.78,7/9/2025,STATE FARM INSURA,,Insurance,BILL PAY
Savings,38.43,6/30/2025,CONNECTICUT GENER,,Insurance,BILL PAY
Checking,15.4,6/24/2025,CHECK # 319,319,Misc,CHECK
Checking,73,6/20/2025,FLEET BANK MC/VISA,,Misc,BILL PAY
Checking,50,6/21/2025,CHECK # 313,313,Misc,CHECK
Checking,13.75,7/2/2025,CHECK # 385,385,Misc,CHECK
Checking,100,7/5/2025,KEYBANK MC/VISA,,Misc,BILL PAY
Checking,83.91,6/20/2025,CHECK # 392,392,Misc,CHECK
Checking,500,6/19/2025,CHECK # 373,373,Misc,CHECK
Checking,690.75,6/15/2025,CHECK # 383,383,Misc,CHECK
Checking,25,6/17/2025,CHECK # 391,391,Misc,CHECK
Checking,5.9,7/2/2025,CHECK # 366,366,Misc,CHECK
Checking,42.08,7/7/2025,CHECK # 393,393,Misc,CHECK
Checking,246.32,6/29/2025,SBC AMERITECH,,Phone,BILL PAY
Checking,39.79,7/6/2025,SPRINT PCS,,Phone,BILL PAY
Savings,108.45,7/8/2025,DIVISION OF WATER,,Water,BILL PAY
Credit,87.92,6/29/2025,7-ELEVEN,,Misc,CREDIT
Credit,183.96,7/6/2025,AMAZON,,Discretionary,CREDIT
Credit,67.43,7/6/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,138.88,6/20/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,26.1,7/3/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,103.01,7/10/2025,BEST BUY,,Entertainment,CREDIT
Credit,187,6/26/2025,BEST BUY,,Entertainment,CREDIT
Credit,147.4,6/29/2025,BOB'S BAR AND GRILL,,Restaurant,CREDIT
Credit,87.43,7/5/2025,BURGER KING,,Restaurant,CREDIT
Credit,812.35,6/24/2025,DIRECTV,,Entertainment,CREDIT
Credit,16.08,6/24/2025,DISH NETWORK,,Entertainment,CREDIT
Credit,26.43,7/11/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,34.51,6/20/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,169.53,6/27/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,15.22,7/2/2025,JACK-IN-THE-BOX,,Restaurant,CREDIT
Credit,152.45,6/12/2025,JIFFY LUBE,,Automobile,CREDIT
Credit,74.32,6/24/2025,KFC,,Restaurant,CREDIT
Credit,243.98,6/28/2025,MACY'S,,Clothing and Personal,CREDIT
Credit,90.22,6/19/2025,NIKESTORE,,Clothing and Personal,CREDIT
Credit,187.5,6/15/2025,SEARS,,Misc,CREDIT
Credit,56.78,7/5/2025,SHELL OIL,,Automobile,CREDIT
Credit,59.21,6/28/2025,SHELL OIL,,Automobile,CREDIT
Credit,10.45,7/5/2025,TACO BELL,,Restaurant,CREDIT
Credit,25.05,6/16/2025,TGI FRIDAYS,,Restaurant,CREDIT
Credit,63.13,6/15/2025,VERIZON WIRELESS,,Wireless,CREDIT
Credit,598.32,6/21/2025,VERIZON WIRELESS,,Wireless,CREDIT
Credit,28.34,7/6/2025,VICTORIA'S SECRET,,Clothing and Personal,CREDIT
Checking,586.12,5/15/2025,VOLVO FINANCE,,Automobile,BILL PAY
Checking,411.28,5/25/2025,AMERICAN HONDA,,Automobile,BILL PAY
Checking,15.06,5/19/2025,KWIK CAR WASH,,Automobile,ATM
Checking,114.62,6/9/2025,DEPT MOTOR VEHICL,376,Automobile,CHECK
Checking,250,5/17/2025,TARGET,,Clothing and Personal,BILL PAY
Savings,19.42,5/20/2025,CHECK 377,377,Clothing and Personal,CHECK
Savings,500,5/23/2025,TARGET,,Clothing and Personal,ATM
Checking,12.41,6/3/2025,PANERA BREAD,,Restaurant,ATM
Checking,43.64,5/25/2025,SHOOTERS,,Restaurant,ATM
Checking,9.58,6/11/2025,EINSTEIN BAGEL,,Restaurant,ATM
Savings,24.95,5/30/2025,SANTOS PIZZA,,Restaurant,ATM
Checking,12.05,6/1/2025,MOOTOWN CREAMERY,,Restaurant,ATM
Savings,12.88,5/19/2025,PANERA BREAD,,Restaurant,ATM
Checking,22.66,5/24/2025,PARTY CITY,,Restaurant,ATM
Checking,50.01,6/8/2025,DON PABLOS,,Restaurant,ATM
Savings,43.75,6/5/2025,WINKING LIZARD,,Restaurant,ATM
Checking,48.38,6/4/2025,SANTOS PIZZA,,Restaurant,ATM
Savings,129.84,6/2/2025,ILLUMINATING ELEC,,Electric,BILL PAY
Savings,61,5/24/2025,CAVS GUND ARENA,,Entertainment,ATM
Savings,26.75,5/19/2025,CINEMARK MOVIES,,Entertainment,ATM
Checking,37,5/20/2025,CLEVELAND LIVE,,Entertainment,ATM
Savings,15.12,6/6/2025,BOTANICAL GA,,Entertainment,ATM
Checking,24.99,5/27/2025,BORDERS BOOKS,,Entertainment,ATM
Checking,4,5/30/2025,PIN PURCHASE FEE,,Fees,FEES
Checking,8.5,5/12/2025,MAINTENANCE SRVC,,Fees,FEES
Savings,4,6/1/2025,PIN PURCHASE FEE,,Fees,FEES
Savings,8.5,5/25/2025,MAINTENANCE SRVC,,Fees,FEES
Savings,25.16,5/24/2025,BP OIL,,Automobile,ATM
Savings,30.8,6/6/2025,COLUMBIA GAS,,Automobile,ATM
Savings,27.27,5/26/2025,SPEEDWAY,,Automobile,ATM
Checking,28.53,6/4/2025,SHELL OIL,,Automobile,ATM
Savings,29.71,6/4/2025,MAC GAS,,Automobile,ATM
Savings,33.22,5/13/2025,SHELL OIL,,Automobile,ATM
Savings,34.23,6/11/2025,SPEEDWAY,,Automobile,ATM
Savings,58.22,5/28/2025,BJ'S WHOLESALE,,Groceries,ATM
Savings,20.76,6/1/2025,AMERICAN HEALTH,398,Groceries,CHECK
Savings,102.73,6/8/2025,WAL-SAMS,,Groceries,ATM
Savings,71.89,5/28/2025,SAMS CLUB CREDIT,,Groceries,BILL PAY
Savings,17.45,5/29/2025,AMERICAN HEALTH,399,Groceries,CHECK
Checking,51.16,6/1/2025,BJ WHOLESALE,,Groceries,ATM
Savings,139.17,6/2/2025,THE PLAIN DEALER,,Home,BILL PAY
Checking,149.44,5/12/2025,MAC BIRDS,,Home,ATM
Checking,88.28,6/11/2025,ROOT CANDLES,,Home,ATM
Checking,208.51,6/2/2025,NATIONWIDE LIFE,,Insurance,BILL PAY
Checking,137.78,6/5/2025,STATE FARM INSURA,,Insurance,BILL PAY
Savings,38.43,5/30/2025,CONNECTICUT GENER,,Insurance,BILL PAY
Checking,15.4,5/31/2025,CHECK # 319,319,Misc,CHECK
Checking,73,5/26/2025,FLEET BANK MC/VISA,,Misc,BILL PAY
Checking,50,5/28/2025,CHECK # 313,313,Misc,CHECK
Checking,13.75,5/19/2025,CHECK # 385,385,Misc,CHECK
Checking,100,5/29/2025,KEYBANK MC/VISA,,Misc,BILL PAY
Checking,83.91,5/26/2025,CHECK # 392,392,Misc,CHECK
Checking,500,5/27/2025,CHECK # 373,373,Misc,CHECK
Checking,690.75,5/22/2025,CHECK # 383,383,Misc,CHECK
Checking,25,5/13/2025,CHECK # 391,391,Misc,CHECK
Checking,5.9,5/27/2025,CHECK # 366,366,Misc,CHECK
Checking,42.08,5/21/2025,CHECK # 393,393,Misc,CHECK
Checking,46.32,6/6/2025,SBC AMERITECH,,Phone,BILL PAY
Checking,239.79,6/3/2025,SPRINT PCS,,Phone,BILL PAY
Savings,70.07,6/9/2025,DIVISION OF WATER,,Water,BILL PAY
Credit,87.92,6/10/2025,7-ELEVEN,,Misc,CREDIT
Credit,383.96,5/22/2025,AMAZON,,Discretionary,CREDIT
Credit,67.43,5/16/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,138.88,5/21/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,26.1,5/19/2025,AT&T WIRELESS,,Wireless,CREDIT
Credit,103.01,5/31/2025,BEST BUY,,Entertainment,CREDIT
Credit,187,5/24/2025,BEST BUY,,Entertainment,CREDIT
Credit,147.4,5/15/2025,BOB'S BAR AND GRILL,,Restaurant,CREDIT
Credit,87.43,5/13/2025,BURGER KING,,Restaurant,CREDIT
Credit,812.35,5/31/2025,DIRECTV,,Entertainment,CREDIT
Credit,16.08,5/28/2025,DISH NETWORK,,Entertainment,CREDIT
Credit,26.43,5/23/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,34.51,6/8/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,169.53,5/17/2025,EXPRESS,,Clothing and Personal,CREDIT
Credit,15.22,5/15/2025,JACK-IN-THE-BOX,,Restaurant,CREDIT
Credit,152.45,6/10/2025,JIFFY LUBE,,Automobile,CREDIT
Credit,74.32,5/16/2025,KFC,,Restaurant,CREDIT
Credit,243.98,6/7/2025,MACY'S,,Clothing and Personal,CREDIT
Credit,90.22,5/25/2025,NIKESTORE,,Clothing and Personal,CREDIT
Credit,187.5,5/15/2025,SEARS,,Misc,CREDIT
Credit,56.78,5/23/2025,SHELL OIL,,Automobile,CREDIT
Credit,59.21,5/27/2025,SHELL OIL,,Automobile,CREDIT
Credit,10.78,5/19/2025,TACO BELL,,Restaurant,CREDIT
Credit,25.05,6/7/2025,TGI FRIDAYS,,Restaurant,CREDIT
Credit,63.13,6/1/2025,VERIZON WIRELESS,,Wireless,CREDIT
Credit,598.32,6/8/2025,VERIZON WIRELESS,,Wireless,CREDIT
Credit,28.34,5/23/2025,VICTORIA'S SECRET,,Clothing and Personal,CREDIT
Checking,586.12,5/4/2025,VOLVO FINANCE,,Automobile,BILL PAY
Checking,411.28,4/22/2025,AMERICAN HONDA,,Automobile,BILL PAY
Checking,15.06,5/9/2025,KWIK CAR WASH,,Automobile,ATM
Checking,114.62,4/23/2025,DEPT MOTOR VEHICL,376,Automobile,CHECK
Checking,250,5/3/2025,TARGET,,Clothing and Personal,BILL PAY
Savings,19.42,5/1/2025,CHECK 377,377,Clothing and Personal,CHECK
Savings,500,4/26/2025,TARGET,,Clothing and Personal,ATM
Checking,12.41,4/29/2025,PANERA BREAD,,Restaurant,ATM
Checking,43.64,4/29/2025,SHOOTERS,,Restaurant,ATM
Checking,9.58,4/21/2025,EINSTEIN BAGEL,,Restaurant,ATM
Savings,24.95,4/20/2025,SANTOS PIZZA,,Restaurant,ATM
Checking,12.05,4/15/2025,MOOTOWN CREAMERY,,Restaurant,ATM
Savings,12.88,4/27/2025,PANERA BREAD,,Restaurant,ATM
Checking,22.66,4/23/2025,PARTY CITY,,Restaurant,ATM
Checking,50.01,5/4/2025,DON PABLOS,,Restaurant,ATM
Savings,43.75,4/27/2025,WINKING LIZARD,,Restaurant,ATM
Checking,48.38,4/24/2025,SANTOS PIZZA,,Restaurant,ATM
Savings,129.84,4/20/2025,ILLUMINATING ELEC,,Electric,BILL PAY
Savings,61,4/21/2025,CAVS GUND ARENA,,Entertainment,ATM
Savings,26.75,4/24/2025,CINEMARK MOVIES,,Entertainment,ATM
Checking,37,4/25/2025,CLEVELAND LIVE,,Entertainment,ATM
Savings,15.12,4/22/2025,BOTANICAL GA,,Entertainment,ATM
Checking,24.99,5/3/2025,BORDERS BOOKS,,Entertainment,ATM
Checking,4,5/4/2025,PIN PURCHASE FEE,,Fees,FEES
Checking,8.5,5/4/2025,MAINTENANCE SRVC,,Fees,FEES
Savings,4,4/26/2025,PIN PURCHASE FEE,,Fees,FEES
Savings,8.5,4/24/2025,MAINTENANCE SRVC,,Fees,FEES
Savings,25.16,4/17/2025,BP OIL,,Automobile,ATM
Savings,30.8,4/29/2025,COLUMBIA GAS,,Automobile,ATM
Savings,27.27,5/6/2025,SPEEDWAY,,Automobile,ATM
Checking,28.53,4/29/2025,SHELL OIL,,Automobile,ATM
Savings,29.71,4/17/2025,MAC GAS,,Automobile,ATM
Savings,33.22,5/9/2025,SHELL OIL,,Automobile,ATM
Savings,34.23,5/6/2025,SPEEDWAY,,Automobile,ATM
Savings,58.22,4/28/2025,BJ'S WHOLESALE,,Groceries,ATM
